Team,Years,Championships,Zip Code
Princeton,"1869, 1870, 1872, 1873, 1878, 1879, 1880, 1885, 1889, 1893, 1896, 1903, 1906, 1911",14,08544
Yale,"1874, 1876, 1877, 1880, 1881, 1882, 1883, 1884, 1886, 1887, 1888, 1891, 1892, 1894, 1900, 1907, 1909",17,06520
Harvard,"1875, 1890, 1898, 1899, 1910, 1912, 1913, 1919",8,02138
Penn,"1895, 1897, 1904, 1908",4,19104
Michigan,"1901, 1902, 1932, 1933, 1948, 1997",6,48109
Chigago,1905,1,60637
Army,"1914, 1944, 1945",3,10996
Cornell,"1915, 1921, 1922",3,14853
Pitt,"1916, 1918, 1937, 1976",4,15213
Georgia Tech,"1917, 1928, 1990",3,30332
Cal,1920,1,94720
Illinois,"1923, 1927",2,61820
Notre Dame,"1924, 1929, 1930, 1938, 1943, 1946, 1947, 1949, 1966, 1973, 1977, 1988",12,46556
Alabama,"1925, 1926, 1961, 1964, 1965, 1973, 1978, 1979, 1992, 2009, 2011, 2012, 2015",13,35487
Dartmouth,1925,1,02714
USC,"1928, 1931, 1932, 1939, 1962, 1967, 1972, 1974, 1978, 2003, 2004",11,90089
Minnesota,"1934, 1935, 1936, 1940, 1941, 1960",6,55455
SMU,1935,1,75205
TCU,1938,1,76129
Texas A&M,1939,1,77840
Ohio State,"1942, 1954, 1957, 1968, 2002, 2014",6,43210
Oklahoma,"1950, 1955, 1956, 1974, 1975, 1985, 2000",7,73019
Tennessee,"1951, 1998",2,37996
Michigan State,"1952, 1965",2,48823
Maryland,1953,1,20742
UCLA,1954,1,90095
Auburn,"1957, 2010",2,36849
LSU,"1958, 2003, 2007",3,70803
Syracuse,1959,1,13244
Texas,"1963, 1969, 1970, 2005",4,78712
Nebraska,"1970, 1971, 1994, 1995, 1997",5,68588
Georgia,1980,1,30602
Clemson,1981,1,29634
Penn State,"1982, 1986",2,16802
Miami,"1983, 1987, 1989, 1991, 2001",5,33124
BYU,1984,1,84602
Colorado,1990,1,80309
Washington,1991,1,98195
Florida State,"1993, 1999, 2013",3,32306
Florida,"1996, 2006, 2008",3,32611
